feature,importance_dx,importance_dy
dx_6h,2447,954
motion_accel,1916,1717
lat,1869,1809
lon,1541,1915
speed_6h,1516,1000
dx_24h,1390,1130
v10,1334,1530
doy_cos,1334,1282
storm_age_h,1277,1025
dy_24h,1277,1233
sst_c,1271,1680
t2m_c,1213,1415
u10,1206,1634
doy_sin,1197,1208
speed_24h,1146,859
tp,1076,1281
season,1061,963
msl_hpa,1036,954
wind10,1034,1004
heading_sin_6h,1025,801
intensity_x_speed,997,890
sst_x_wind,988,1163
heading_cos_24h,979,657
dist_to_land_km,932,1196
heading_cos_6h,863,907
mslp_deficit,859,871
heading_sin_24h,787,812
speed_12h,775,660
sst_gradient,756,787
wmo_pres,752,778
dx_12h,750,649
dy_12h,675,870
dy_6h,665,2019
coriolis_param,559,476
heading_cos_12h,541,495
heading_sin_12h,437,517
wind_chg_24h,390,494
shear_v,389,500
shear_u,354,467
shear_mag,295,278
wmo_wind,269,339
hour_sin,253,423
wind_chg_12h,238,232
hour_cos,207,260
month_sin,159,165
month_cos,127,197
wind_chg_6h,106,143
lat_subtropical,68,13
lat_tropical,35,6
lat_extratropical,8,2
basin_NI,0,0
basin_AL,0,0
basin_SH,0,0
basin_WP,0,0
basin_EP,0,0
