feature,importance_dx,importance_dy
lat,1645,1244
dx_6h,1625,424
lon,1259,1335
doy_cos,1103,861
sst_c,1000,1117
doy_sin,935,1055
season,913,949
speed_6h,897,568
heading_change,853,466
motion_persistence,775,961
dx_48h,766,709
dy_48h,755,731
msl_hpa,748,723
storm_age_h,725,707
sst_x_wind,696,704
dist_to_land_km,694,491
intensity_x_speed,679,539
heading_sin_48h,678,548
t2m_c,669,795
dy_24h,656,441
wmo_pres,647,644
motion_accel_12h,633,832
speed_48h,631,519
heading_sin_6h,606,438
v10,600,679
mslp_deficit,597,663
tp,596,665
coriolis_param,577,435
u10,575,811
motion_accel_24h,558,744
heading_cos_24h,539,255
wind10,477,506
speed_12h,476,307
heading_cos_48h,476,471
dx_24h,452,580
dx_12h,444,274
speed_24h,444,462
heading_cos_6h,435,659
heading_sin_24h,362,345
wind_chg_48h,331,390
heading_cos_12h,294,261
dy_12h,291,419
sst_gradient,290,295
heading_sin_12h,281,229
dy_6h,226,1413
shear_v,226,266
shear_u,222,317
wmo_wind,213,189
shear_mag,171,143
month_sin,165,115
month_cos,154,86
wind_chg_24h,154,327
wind_chg_12h,84,125
lat_tropical,59,4
lat_subtropical,33,52
wind_chg_6h,22,67
hour_sin,20,32
hour_cos,15,38
lat_extratropical,9,0
sst_favorable,1,28
basin_NI,0,0
basin_AL,0,0
basin_SH,0,0
basin_EP,0,0
basin_WP,0,0
