method,split,count,mean_km,median_km,p90_km,p95_km,max_km
persistence,train,5244,32.8348147871527,24.27531105923208,67.42561726873556,87.47291996391202,623.4552464505733
persistence,val,1062,32.11900939340571,23.950854832973,59.48294790403942,83.74769912754269,250.03819355425532
persistence,test,1984,33.46984701615932,24.41147098539254,67.11098441857419,87.09482755508425,428.31681386202786
persistence,all,8290,32.8950944752335,24.2765721427585,66.83090624222852,87.41890364270274,623.4552464505733
wind10_advection,train,5244,134.14250992658555,111.12432761804135,254.95788850870593,321.70087254758363,795.9782517682813
wind10_advection,val,1062,128.1308121576337,109.10439725389811,238.88367909958507,311.7964870440563,551.0651976509117
wind10_advection,test,1984,122.00266447460807,105.11491664010421,231.86235286774073,276.08627411685126,613.0088817514034
wind10_advection,all,8290,130.46701216936597,109.23061333503406,248.67032733874817,309.0604663490632,795.9782517682813
climatology,train,5244,111.69100841686519,93.56815679616176,206.1953877489598,257.73405079415977,607.5045073841275
climatology,val,1062,117.70547860313697,100.0711084785026,216.53209143386553,304.97590914325724,617.9406980357522
climatology,test,1984,108.78602106026723,91.02130517431209,205.04661903184305,247.92830717810182,530.4151747788152
climatology,all,8290,111.76626443885918,93.57227641353462,206.80596229791382,261.72717437109884,617.9406980357522
ensemble_pers_wind,train,5244,51.20621792285459,42.62161590986172,96.7640646261629,120.40094763789752,582.0850040411073
ensemble_pers_wind,val,1062,49.68880495283447,42.02424940927796,91.12201200935016,120.98200552161116,267.5691912143552
ensemble_pers_wind,test,1984,48.12084317396438,40.43190099085814,87.16699590819569,110.33364366580983,335.7957517340059
ensemble_pers_wind,all,8290,50.27342225627323,41.944154022826496,93.90093958055299,117.79045404523407,582.0850040411073
