split,count,mean_km,median_km,p90_km,p95_km,max_km
train,11000,82.87422382861587,52.69853343194782,196.03712291573865,253.39940515272568,795.9782517682813
val,2214,79.71458740509176,47.967255066734225,193.31548760423163,240.0805518989911,551.0651976509117
test,4144,77.25799142032854,50.210921433881836,181.01635239525248,231.7630193558517,613.0088817514034
all,17358,81.13041105400906,51.69531585069929,191.66529228120572,247.9235624634889,795.9782517682813
