split,count,mean_km,median_km,p90_km,p95_km,max_km
train,3323,99.86803668861016,78.57734563145583,202.95974770172754,252.79305473797157,806.6043055180626
val,740,214.4492474537633,163.99555041925584,422.31102183199096,532.4079956124169,1189.7385567900285
test,1285,201.34484326942314,160.27440461886192,391.375094194793,518.4337098278462,1193.2343501073142
all,5348,140.10509585513185,103.31465063787661,285.6473216734762,380.0976555090092,1193.2343501073142
