split,count,mean_km,median_km,p90_km,p95_km,max_km
train,4534,41.2533482569206,32.94605023304544,80.85253173112127,101.70272200332323,628.6568409872501
val,934,79.63512424100121,59.27145856552397,152.47148741891044,199.45017924746438,558.8838217015283
test,1729,79.7946469520978,61.670369277868026,159.25036876282084,202.22600104035962,749.0342135949762
all,7197,55.49351557845633,40.878490765144505,110.47311956097462,150.0441405540875,749.0342135949762
