split,count,mean_km,median_km,p90_km,p95_km,max_km
train,5244,21.839629122509923,17.28950309071936,42.23642837909078,53.25428451080034,452.4175930229186
val,1062,32.4471101819083,24.60434291994106,60.73079997901423,86.61126805973731,237.7244637150588
test,1984,33.33638334023807,25.460383873770155,65.85049403954044,84.69921386185034,366.3861176859336
all,8290,25.94996751250434,19.8902825102436,49.90094985495616,66.02383613245615,452.4175930229186
